indice,date_partido,local,visita,prediccion,correcto,multiplicador
premiere,21/05/2017,Burnley,West Ham,-,,1
premiere,11/08/2017,Arsenal,Leicester,-,,1.3
premiere,12/08/2017,West Brom,Bournemouth,-,,1.03
premiere,12/08/2017,Chelsea,Burnley,-,,1.11
premiere,12/08/2017,Crystal Palace,Huddersfield,-,,1.19
premiere,12/08/2017,Watford,Liverpool,Liverpool,,1.29
premiere,12/08/2017,Brighton,Man City,Man City,1,1.24
premiere,12/08/2017,Everton,Stoke,-,,1.06
premiere,12/08/2017,Southampton,Swansea,-,,1.13
premiere,13/08/2017,Newcastle,Tottenham,-,,1.08
premiere,13/08/2017,Man United,West Ham,Man United,1,1.16
premiere,19/08/2017,Stoke,Arsenal,-,,1.31
premiere,19/08/2017,Leicester,Brighton,-,,1.01
premiere,19/08/2017,Liverpool,Crystal Palace,-,,1.22
premiere,19/08/2017,Swansea,Man United,Man United,1,1.03
premiere,19/08/2017,Bournemouth,Watford,-,,1.15
premiere,19/08/2017,Burnley,West Brom,-,,1.19
premiere,19/08/2017,Southampton,West Ham,-,,1.2
premiere,20/08/2017,Tottenham,Chelsea,-,,1.15
premiere,20/08/2017,Huddersfield,Newcastle,-,,1.28
premiere,21/08/2017,Man City,Everton,Man City,,1.22
premiere,26/08/2017,Watford,Brighton,-,,1.33
premiere,26/08/2017,Man United,Leicester,-,,1.27
premiere,26/08/2017,Bournemouth,Man City,Man City,1,1.01
premiere,26/08/2017,Huddersfield,Southampton,-,,1.24
premiere,26/08/2017,Crystal Palace,Swansea,-,,1.04
premiere,26/08/2017,Newcastle,West Ham,-,,1.26
premiere,27/08/2017,Liverpool,Arsenal,-,,1.17
premiere,27/08/2017,Tottenham,Burnley,-,,1.07
premiere,27/08/2017,Chelsea,Everton,-,,1.31
premiere,27/08/2017,West Brom,Stoke,-,,1
premiere,09/09/2017,Arsenal,Bournemouth,-,,1.19
premiere,09/09/2017,Leicester,Chelsea,-,,1.22
premiere,09/09/2017,Man City,Liverpool,-,,1.02
premiere,09/09/2017,Stoke,Man United,Man United,,1.32
premiere,09/09/2017,Everton,Tottenham,-,,1.25
premiere,09/09/2017,Southampton,Watford,-,,1.22
premiere,09/09/2017,Brighton,West Brom,-,,1.22
premiere,10/09/2017,Burnley,Crystal Palace,-,,1.05
premiere,10/09/2017,Swansea,Newcastle,-,,1.25
premiere,11/09/2017,West Ham,Huddersfield,-,,1.24
premiere,15/09/2017,Bournemouth,Brighton,-,,1.15
premiere,16/09/2017,Liverpool,Burnley,-,,1.05
premiere,16/09/2017,Huddersfield,Leicester,-,,1.16
premiere,16/09/2017,Watford,Man City,Man City,1,1.27
