id,name,id,name,correct,incorrect,FS,SS,TS
55,"Blaz Rola",29,"Andrea Arnaboldi",0,0,0.8552631579999996,1.2960526319999985,0.7142857140000007
169,"Guilherme Clezar",29,"Andrea Arnaboldi",0,0,-0.04858299600000038,1.4210526319999985,0.047619048000001385
71,"Christian Harrison",29,"Andrea Arnaboldi",0,0,0.40526315800000035,1.2210526319999992,0
393,"Ruben Bemelmans",29,"Andrea Arnaboldi",1,0,0.5497076029999981,1.9766081880000002,-4.285714286000001
326,"Mitchell Krueger",29,"Andrea Arnaboldi",0,0,-0.6169590639999996,2.532163744,-1.660714286000001
157,"Gianluigi Quinzi",30,"Andrea Basso",0,0,0.550505051,2.8383838399999988,-2.1666666669999994
64,"Carlos Berlocq",30,"Andrea Basso",1,0,2.8441558449999995,3.8701298709999987,-0.6666666669999994
384,"Roberto Quiroz",30,"Andrea Basso",0,0,-0.5167464109999997,1.5693779909999996,-1.4166666669999994
11,"Aleksandr Nedovyesov",30,"Andrea Basso",0,0,0.522727273000001,1.7272727280000009,-7.666666666999999
85,"Daniel Munoz De La Nava",30,"Andrea Basso",0,0,0.05050505100000002,-0.2727272720000009,-5.166666666999999
90,"Danilo Petrovic",30,"Andrea Basso",0,0,0.33155080299999895,1.2566844929999998,-0.9999999999999982
387,"Rogerio Dutra Silva",31,"Andrea Collarini",1,0,2.7678571429999987,1.3392857140000007,-1.342857142999998
9,"Alejandro Gonzalez",31,"Andrea Collarini",0,0,1.180555554999998,1.7916666659999994,-0.9761904759999993
446,"Tim Smyczek",31,"Andrea Collarini",1,0,1.6704545449999983,1.0795454549999999,-0.6428571429999987
226,"Jozef Kovalik",31,"Andrea Collarini",0,0,1.7750000000000004,1.625,0.714285714999999
442,"Thomaz Bellucci",31,"Andrea Collarini",0,0,3.125,1.625,-2.1428571429999987
55,"Blaz Rola",31,"Andrea Collarini",0,0,1.875,0.5,0.8571428569999995
245,"Kimmer Coppejans",31,"Andrea Collarini",0,0,0.5340909089999997,1.7159090910000003,1.1071428570000013
294,"Matteo Donati",31,"Andrea Collarini",0,0,1.7083333340000024,0.2083333329999988,-0.14285714299999874
291,"Mathias Bourgue",31,"Andrea Collarini",0,0,0.9916666669999987,2.2249999999999996,-3.0178571429999987
116,"Eduard Esteve Lobato",32,"Andreas Haider Maurer",0,0,3.1666666659999994,-0.7500000000000018,-5
244,"Kevin Krawietz",32,"Andreas Haider Maurer",0,0,2.233333332999999,2.1166666670000005,-1
325,"Mirza Basic",33,"Andreas Seppi",0,0,-0.375,-1,0.5999999999999979
287,"Martin Klizan",33,"Andreas Seppi",0,0,1.4583333330000006,-0.6527777780000008,1.3333333329999988
329,"N Sriram Balaji",34,"Andreas Siljestrom",1,0,4.166666666999999,2.444444445000002,-0.3333333329999997
376,"Ricardo Ojeda Lara",35,"Andrej Martin",0,0,-3.666666667000001,2.0454545449999983,3.833333332999999
282,"Marius Copil",35,"Andrej Martin",0,0,0.1999999999999993,2.5454545449999992,3.8333333330000006
438,"Thanasi Kokkinakis",35,"Andrej Martin",0,0,-0.5,2.5454545449999983,5.833333333000001
168,"Guido Andreozzi",35,"Andrej Martin",0,1,0.3214285720000003,2.688311687999999,2.6111111109999996
168,"Guido Andreozzi",35,"Andrej Martin",0,0,0.3214285720000003,2.688311687999999,2.6111111109999996
419,"Simone Bolelli",35,"Andrej Martin",0,0,0.153846154,1.9300699289999983,2.5000000000000018
226,"Jozef Kovalik",35,"Andrej Martin",0,0,-0.34999999999999964,2.5454545449999983,2.690476191
60,"Brydan Klein",36,"Andrew Harris",0,0,-0.32857142800000183,-2.414285715,-2.80952381
199,"Jason Kubler",37,"Andrew Whittington",0,0,1.3043478260000008,3.1787439609999986,-1.8000000000000007
484,"Yoshihito Nishioka",37,"Andrew Whittington",0,0,0.9285714289999998,2.8650793649999997,0.06666666599999971
36,"Andrew Harris",37,"Andrew Whittington",0,1,0.4285714279999997,2.936507937,0.06666666699999979
162,"Go Soeda",37,"Andrew Whittington",0,0,0.14285714299999874,2.222222221999999,-0.8499999999999996
178,"Hiroyasu Ehara",37,"Andrew Whittington",0,0,0.8000000000000007,-0.17777777800000116,1.4000000000000004
366,"Prajnesh Gunneswaran",37,"Andrew Whittington",0,0,-0.09999999999999964,0.8222222219999988,0.8000000000000007
230,"Julian Lenz",38,"Andrey Yakovlev",1,0,7.285714286,6.000000000000001,-4
172,"Guillermo Olaso",39,"Ante Pavic",0,0,0.7368421049999991,0.9912280699999982,3.028571429000001
31,"Andrea Collarini",39,"Ante Pavic",0,0,-1.125,0.2083333329999988,1.7428571430000002
99,"Denis Kudla",39,"Ante Pavic",0,0,0.5882352950000005,1.0686274509999993,4.800000000000002
103,"Dennis Novikov",39,"Ante Pavic",0,0,1.4117647060000014,0.4215686269999992,2.8857142860000025
