id,name,sum(A.w_df),count(*)
158,"Gianni Mina",4,5
159,"Gibril Diarra",0,0
160,"Gilles Simon",7,2
161,"Gleb Sakharov",21,9
162,"Go Soeda",20,11
163,"Gonzalo Escobar",33,13
164,"Gonzalo Lama",9,2
165,"Gonzalo Villanueva",3,2
166,"Gregoire Barrere",35,19
167,"Grzegorz Panfil",0,0
168,"Guido Andreozzi",41,24
169,"Guilherme Clezar",15,8
170,"Guillermo Duran",2,1
171,"Guillermo Garcia Lopez",9,2
172,"Guillermo Olaso",22,16
173,"Harri Heliovaara",18,4
174,"Henri Laaksonen",21,6
175,"Henry Craig",0,0
176,"Hernan Casanova",11,4
177,"Hiroki Moriya",39,16
178,"Hiroyasu Ehara",13,5
179,"Hong Chung",0,0
180,"Hsien Yin Peng",0,0
181,"Hugo Dellien",28,14
182,"Hugo Nys",0,0
183,"Igor Sijsling",10,9
184,"Inigo Cervantes Huegun",11,4
185,"Ivan Dodig",0,0
186,"Ivan Endara",9,2
187,"Ivan Nedelko",4,1
188,"Ivan Sabanov",0,0
189,"Ivan Sergeyev",3,1
190,"Jacob Grills",17,6
191,"Jae Hwan Kim",0,0
192,"James Frawley",0,0
193,"James Ward",42,12
194,"Jan Hernych",0,0
195,"Jan Satral",20,7
196,"Jared Donaldson",1,1
197,"Jared Hiltzik",37,11
198,"Jason Jung",47,19
199,"Jason Kubler",100,24
200,"Javier Marti",1,1
201,"Jc Aragone",39,11
202,"Jea Moon Lee",0,1
203,"Jeevan Nedunchezhiyan",0,0
204,"Jeremy Chardy",3,2
205,"Jeremy Jahn",20,10
206,"Ji Sung Nam",1,2
207,"Jiri Vesely",13,4
208,"Joao Domingues",9,10
209,"Joao Lucas Magalhaes Hueb De Menezes",0,0
210,"Joao Pedro Sorgi",15,5
211,"Joao Souza",27,8
212,"Joffrey De Schepper",1,1
213,"Johan Sebastien Tatlot",3,1
214,"John Millman",12,11
215,"John Patrick Smith",17,13
216,"Jonathan Eysseric",3,1
217,"Jonathan Hilaire",0,0
218,"Jonathan Kanar",2,2
219,"Jordan Thompson",76,23
220,"Jordi Samper Montana",4,4
221,"Jorge Brian Panta Herreros",1,1
222,"Joris De Loore",33,14
223,"Jose Hernandez",64,15
224,"Jose Pereira",0,0
225,"Jose Rubin Statham",31,10
226,"Jozef Kovalik",27,13
227,"Juan Carlos Saez",3,1
228,"Juan Ignacio Galarza",16,6
229,"Juan Ignacio Londero",49,27
230,"Julian Lenz",7,3
231,"Jung Woong Na",2,1
232,"Jurgen Melzer",2,1
233,"Jurgen Zopp",33,13
234,"Kaichi Uchida",33,9
235,"Kamil Majchrzak",33,11
236,"Karim Mohamed Maamoun",0,0
237,"Karue Sell",11,7
238,"Karunuday Singh",0,0
239,"Kei Nishikori",10,5
240,"Ken Onishi",6,2
241,"Kenny De Schepper",22,13
242,"Kento Takeuchi",0,0
243,"Kevin King",41,10
244,"Kevin Krawietz",27,14
245,"Kimmer Coppejans",62,17
246,"Konstantin Kravchuk",1,2
