SET,playerA,playerB,Surface,Type,A_points,B_Points
6733,229,78,Clay,2,6,4
7144,253,78,Hard,2,6,4
9736,381,78,Clay,2,6,4
10480,47,78,Clay,2,6,2
1615,51,79,Hard,2,6,3
8185,94,80,Hard,2,5,7
10576,177,80,Hard,2,7,6
238,136,81,Clay,2,6,7
598,384,81,Clay,2,6,2
8563,462,81,Hard,2,6,1
8239,259,82,Hard,2,6,2
4534,353,83,Clay,2,6,4
5725,269,83,Clay,2,7,6
6157,271,83,Clay,2,6,3
7417,168,83,Clay,2,3,0
9754,125,83,Clay,2,7,6
3577,270,84,Hard,2,6,3
5290,172,84,Hard,2,7,5
6058,77,84,Hard,2,6,2
6601,83,84,Clay,2,5,7
9706,381,84,Clay,2,6,2
232,354,85,Clay,2,6,4
586,353,85,Clay,2,4,1
5824,272,85,Clay,2,7,6
6385,374,85,Clay,2,6,4
6688,30,85,Clay,2,6,4
9145,355,85,Clay,2,6,4
10828,405,85,Clay,2,6,2
4252,424,86,Hard,2,6,0
4330,177,86,Hard,2,6,3
8935,206,87,Hard,2,6,2
10036,265,87,Hard,2,6,0
1087,152,88,Hard,2,4,6
1492,487,88,Hard,2,6,2
1276,280,89,Hard,2,6,4
1000,143,90,Hard,2,6,3
2245,155,90,Hard,2,7,6
2899,243,90,Hard,2,7,5
3175,219,90,Hard,2,3,0
6694,352,90,Clay,2,1,6
7966,223,90,Hard,2,4,6
8476,4,90,Hard,2,7,5
10747,157,90,Clay,2,7,6
7819,490,91,Clay,2,6,3
346,4,92,Hard,2,7,5
628,326,92,Clay,2,6,3
1285,345,92,Hard,2,6,4
1858,70,92,Hard,2,6,2
3940,287,92,Hard,2,6,3
5509,112,92,Hard,2,6,4
6358,39,92,Clay,2,6,4
6988,352,92,Hard,2,1,6
7909,39,92,Hard,2,6,2
10156,183,92,Clay,2,4,1
4204,308,93,Clay,2,6,4
2587,287,94,Hard,2,6,2
6055,455,94,Hard,2,1,0
8176,262,94,Hard,2,6,4
10588,259,94,Hard,2,6,2
2665,388,95,Hard,2,6,4
5758,353,96,Clay,2,6,4
6253,281,96,Clay,2,7,6
1327,199,97,Hard,2,6,4
2242,271,97,Hard,2,7,6
6892,162,97,Hard,2,6,4
9991,488,97,Hard,2,6,4
10624,80,97,Hard,2,6,4
373,393,98,Hard,2,6,4
10435,353,98,Clay,2,6,4
31,226,99,Hard,2,6,4
505,63,99,Hard,2,6,3
2380,266,99,Hard,2,6,4
5482,112,99,Hard,2,6,0
8062,342,99,Clay,2,6,4
10534,339,100,Clay,2,7,6
2014,406,101,Hard,2,6,1
844,113,102,Clay,2,6,7
3367,77,102,Hard,2,6,2
5971,375,102,Hard,2,7,6
7480,83,102,Clay,2,5,7
10291,136,102,Clay,2,6,1
1177,9,103,Hard,2,6,3
2419,239,103,Hard,2,6,3
3973,71,103,Hard,2,7,6
5572,153,103,Hard,2,6,4
7033,352,103,Hard,2,6,3
10192,84,104,Clay,2,6,3
3820,214,105,Hard,2,6,4
4255,162,105,Hard,2,6,3
4612,267,105,Hard,2,1,6
5086,433,105,Hard,2,5,7
5389,199,105,Hard,2,6,4
7210,459,105,Clay,2,6,2
8821,433,105,Hard,2,3,6
9322,141,105,Hard,2,6,1
9955,489,105,Hard,2,3,6
7546,125,106,Clay,2,6,4
10834,84,106,Clay,2,7,5
97,428,107,Hard,2,6,3
7306,420,108,Clay,2,6,4
8746,70,108,Clay,2,4,6
9046,426,109,Clay,2,6,2
9709,244,110,Clay,2,7,5
6826,371,111,Hard,2,6,2
8893,105,111,Hard,2,2,6
9961,141,111,Hard,2,6,4
70,7,113,Hard,2,6,2
694,376,113,Clay,2,6,4
2086,252,113,Hard,2,4,6
5659,122,113,Clay,2,6,2
10084,235,113,Clay,2,3,1
5308,166,114,Hard,2,6,1
10261,263,115,Clay,2,3,6
5716,45,116,Clay,2,6,3
9244,96,116,Clay,2,6,1
2323,399,117,Hard,2,6,2
3001,407,117,Hard,2,6,1
2662,166,118,Hard,2,6,2
4837,40,118,Hard,2,6,4
5293,337,118,Hard,2,3,6
8287,82,118,Hard,2,7,6
709,387,119,Clay,2,6,2
5986,233,119,Hard,2,6,3
7456,168,119,Clay,2,6,3
10471,281,119,Clay,2,7,6
2683,340,120,Hard,2,6,3
4930,289,120,Hard,2,3,6
5977,299,120,Hard,2,3,6
7498,119,120,Clay,2,6,3
8956,52,120,Clay,2,7,6
3703,243,121,Hard,2,6,3
5896,354,121,Clay,2,6,2
6367,223,121,Clay,2,6,2
6769,138,121,Clay,2,6,0
7069,193,121,Hard,2,6,1
8023,6,121,Hard,2,3,6
664,27,122,Clay,2,6,2
1390,271,122,Hard,2,6,2
3190,90,122,Hard,2,0,0
4450,374,122,Clay,2,6,3
5632,422,122,Clay,2,6,4
6175,29,122,Clay,2,6,4
8101,181,122,Clay,2,6,2
8695,169,122,Clay,2,7,6
7582,365,123,Clay,2,6,2
6760,225,124,Clay,2,6,4
7393,149,124,Clay,2,6,2
871,287,125,Clay,2,6,3
5650,168,125,Clay,2,6,1
640,103,126,Clay,2,6,7
1234,59,126,Hard,2,7,6
2212,424,126,Hard,2,6,4
2920,36,126,Hard,2,7,6
3640,70,126,Hard,2,7,6
4027,358,126,Hard,2,6,2
