match,playerA,playerB,surface,A_points,B_Points
2161,419,464," Clay",1.0000,0.6667
3203,349,464," Clay",0.6667,0.5000
224,453,465," Clay",1.0000,0.5000
381,63,465," Hard",0.7000,0.2222
850,368,465," Hard",NULL,0.5556
1157,398,465," Hard",NULL,0.6154
2008,233,465," Hard",0.3333,0.5556
3212,387,465," Clay",1.0000,0.3333
885,304,466," Hard",1.0000,0.6000
1090,418,466," Hard",0.7143,0.5455
2321,417,466," Hard",NULL,0.7143
2560,327,466," Clay",0.0000,0.7143
3187,480,467," Hard",1.0000,0.0000
3519,43,467," Clay",0.0000,0.7000
58,435,468," Hard",NULL,NULL
3192,338,468," Hard",NULL,0.5556
613,359,469," Hard",0.5000,0.7000
2617,295,469," Clay",0.6000,0.6667
3177,410,470," Hard",0.6000,0.0000
3518,329,470," Clay",0.0000,0.5000
2866,301,471," Hard",0.3333,0.5000
344,488,472," Hard",0.8000,0.4000
477,295,472," Hard",0.6250,0.3333
1063,219,472," Hard",NULL,0.6667
1819,265,472," Hard",0.6250,0.8333
3342,152,472," Hard",0.8667,0.1429
1712,177,473," Hard",0.2500,0.5455
1807,177,473," Hard",0.6000,0.5833
2396,368,473," Clay",NULL,0.3333
1575,319,474," Hard",0.6667,0.5833
1706,421,474," Hard",0.0000,0.5000
2415,40,474," Clay",0.8333,0.1667
2537,327,474," Clay",NULL,0.4286
3,358,475," Hard",0.8571,0.4000
642,57,475," Hard",1.0000,0.5000
1337,71,475," Hard",0.7273,0.6154
2107,55,475," Clay",0.7000,0.5000
930,339,476," Hard",0.9000,0.5556
1180,251,476," Hard",0.8889,0.2500
2754,257,476," Hard",0.3333,0.4286
3538,383,476," Hard",0.6667,0.6154
309,248,477," Clay",0.6667,0.6000
1744,172,477," Hard",0.0000,0.3333
1854,393,477," Hard",0.7500,0.6000
2741,177,477," Hard",0.5714,0.4000
611,222,478," Hard",0.7500,0.3333
876,205,478," Hard",NULL,0.2500
3080,156,478," Clay",0.3333,0.1429
609,5,479," Hard",0.7857,0.5000
3175,417,480," Hard",0.6667,0.6667
3514,256,480," Clay",1.0000,0.4000
704,460,481," Hard",1.0000,0.3333
1062,486,481," Hard",0.6000,0.5556
1282,315,481," Hard",0.8000,0.0000
2963,408,481," Hard",0.2500,0.5714
3114,460,481," Hard",0.5000,0.5000
3318,433,481," Hard",0.7692,0.6000
3123,472,483," Hard",0.6250,0.5000
3353,472,483," Hard",0.7500,0.5714
428,59,484," Hard",0.7500,0.3333
735,424,484," Hard",0.4000,0.4615
2464,286,484," Clay",1.0000,0.2500
3332,486,484," Hard",0.7000,0.7333
2954,219,485," Hard",0.5000,0.4444
3326,277,485," Hard",0.8571,0.4286
1056,219,486," Hard",0.5556,0.3846
3316,488,486," Hard",0.7500,0.4286
352,129,487," Hard",0.0000,0.5000
1275,60,488," Hard",0.0000,0.5000
1430,105,488," Hard",0.7500,0.7778
1540,198,488," Hard",1.0000,0.6429
2951,199,488," Hard",0.5000,0.4000
3107,266,488," Hard",0.5000,0.9000
346,105,489," Hard",0.6667,0.5000
518,289,489," Hard",1.0000,0.6154
747,484,489," Hard",0.7857,0.5333
971,199,489," Hard",NULL,0.3750
1289,219,489," Hard",0.7500,0.0000
1442,178,489," Hard",0.4444,0.6429
1682,233,489," Hard",0.3750,0.3333
1794,267,489," Hard",0.0000,0.6667
2409,473,489," Clay",0.7500,0.0000
2552,329,489," Clay",0.5000,0.6000
3310,198,489," Hard",0.5556,0.6250
1550,345,490," Hard",0.5000,0.3750
1693,345,490," Hard",NULL,0.4286
1805,421,490," Hard",NULL,0.2857
2514,365,490," Clay",NULL,0.5714
2593,464,490," Clay",1.0000,0.5000
3074,96,490," Clay",0.4444,0.5000
3614,115,490," Clay",0.6923,0.7500
