id_liga,date_partido,equipo_local,equipo_visitante,goles_local,goles_visitante,resultado,dates,id,name,id,name,team,do,recieve,team,do,recieve
E0,01/10/16,Watford,Bournemouth,2,2,D,"2016-10-01 00:00:00",18,Watford,2,Bournemouth,18,1.157894737,1.684210526,2,1.184210526,1.605263158
E0,31/03/18,Watford,Bournemouth,2,2,D,"2018-03-31 00:00:00",18,Watford,2,Bournemouth,18,1.157894737,1.684210526,2,1.184210526,1.605263158
E0,25/02/17,"West Brom",Bournemouth,2,1,H,"2017-02-25 00:00:00",19,"West Brom",2,Bournemouth,19,0.815789474,1.473684211,2,1.184210526,1.605263158
E0,12/08/17,"West Brom",Bournemouth,1,0,H,"2017-08-12 00:00:00",19,"West Brom",2,Bournemouth,19,0.815789474,1.473684211,2,1.184210526,1.605263158
E0,21/08/16,"West Ham",Bournemouth,1,0,H,"2016-08-21 00:00:00",20,"West Ham",2,Bournemouth,20,1.263157895,1.789473684,2,1.184210526,1.605263158
E0,20/01/18,"West Ham",Bournemouth,1,1,D,"2018-01-20 00:00:00",20,"West Ham",2,Bournemouth,20,1.263157895,1.789473684,2,1.184210526,1.605263158
E0,01/10/17,Arsenal,Brighton,2,0,H,"2017-10-01 00:00:00",1,Arsenal,3,Brighton,1,1.947368421,1.342105263,3,0.894736842,1.421052632
E0,15/09/17,Bournemouth,Brighton,2,1,H,"2017-09-15 00:00:00",2,Bournemouth,3,Brighton,2,1.184210526,1.605263158,3,0.894736842,1.421052632
E0,28/04/18,Burnley,Brighton,0,0,D,"2018-04-28 00:00:00",4,Burnley,3,Brighton,4,0.947368421,1.026315789,3,0.894736842,1.421052632
E0,26/12/17,Chelsea,Brighton,2,0,H,"2017-12-26 00:00:00",5,Chelsea,3,Brighton,5,1.631578947,1,3,0.894736842,1.421052632
E0,14/04/18,"Crystal Palace",Brighton,3,2,H,"2018-04-14 00:00:00",6,"Crystal Palace",3,Brighton,6,1.184210526,1.447368421,3,0.894736842,1.421052632
E0,10/03/18,Everton,Brighton,2,0,H,"2018-03-10 00:00:00",7,Everton,3,Brighton,7,1.157894737,1.526315789,3,0.894736842,1.421052632
E0,09/12/17,Huddersfield,Brighton,2,0,H,"2017-12-09 00:00:00",8,Huddersfield,3,Brighton,8,0.736842105,1.526315789,3,0.894736842,1.421052632
E0,19/08/17,Leicester,Brighton,2,0,H,"2017-08-19 00:00:00",9,Leicester,3,Brighton,9,1.473684211,1.578947368,3,0.894736842,1.421052632
E0,13/05/18,Liverpool,Brighton,4,0,H,"2018-05-13 00:00:00",10,Liverpool,3,Brighton,10,2.210526316,1,3,0.894736842,1.421052632
E0,09/05/18,"Man City",Brighton,3,1,H,"2018-05-09 00:00:00",11,"Man City",3,Brighton,11,2.789473684,0.710526316,3,0.894736842,1.421052632
