date,id,name,id,name,correct,FS,SS,TS,mult
20180416,121,"Emilio Gomez",8,"Alejandro Gomez Gb42",0.6627761601926212,1.1188811179999991,-2.426573425999999,0.6904761899999983,1.0592522447859734
20180423,380,"Roberto Cid",8,"Alejandro Gomez Gb42",0.7950749034548041,0.21457489900000049,0.5683760679999992,1.4025974020000014,1.488984403345409
20180430,444,"Tigre Hank",8,"Alejandro Gomez Gb42",0.3112755240718077,-2.153846154,-4.725274726,1.8571428569999995,1.267165302858221
20180521,220,"Jordi Samper Montana",9,"Alejandro Gonzalez",0.3681689504510062,0.444444445000002,-2.1666666659999994,3.499999998999998,1.5355399914106416
20180101,241,"Kenny De Schepper",9,"Alejandro Gonzalez",0.7203417402575469,0.11111111200000146,-0.75,0.8333333329999988,1.5428707356343083
20180122,197,"Jared Hiltzik",9,"Alejandro Gonzalez",0.4386202309320721,-0.17320261399999914,-2.049019607,0.8333333329999988,1.441067057762047
20180312,141,"Filip Peliwo",9,"Alejandro Gonzalez",0.645127491606629,-0.19841269800000028,-1.2619047610000003,-0.4166666670000012,1.5767231023964068
20180326,163,"Gonzalo Escobar",9,"Alejandro Gonzalez",0.41468151114885704,0.5444444449999999,1.2333333339999992,0.5833333329999988,1.2270810258516556
20180416,211,"Joao Souza",9,"Alejandro Gonzalez",0.502656259597895,0.00694444500000202,-1.6666666659999994,0,1.0719025092248207
20180423,215,"John Patrick Smith",9,"Alejandro Gonzalez",0.5891696107329916,-0.05555555499999798,-0.24358974299999936,1.6333333329999995,1.3449361557249007
20180430,380,"Roberto Cid",9,"Alejandro Gonzalez",0.46133402408469515,0.31286549800000074,0.5555555560000016,1.378787877999999,1.1756399381058042
20180219,127,"Evan Song",10,"Alejandro Mendoza",0.9174528347568072,-0.153846154,4.076923077,5.5,1.5100579105100822
20180326,372,"Raul Isaias Rosas Zarur",10,"Alejandro Mendoza",0.3568241462474829,-4.25,0.75,6,1.0233697587220958
20180423,456,"Tsung Hua Yang",11,"Aleksandr Nedovyesov",0.4599781021685209,-0.9375,-1.875,6.6,1.5866750825693288
20180514,324,"Miljan Zekic",11,"Aleksandr Nedovyesov",0.4226796732584353,-1.25,-2.8000000000000007,7,1.1965994905027866
20180108,122,"Enrique Lopez Perez",12,"Alessandro Bega",0.5790526878347195,2.977777778,-0.7111111100000009,-1.8333333329999988,1.556305558628377
20180205,205,"Jeremy Jahn",12,"Alessandro Bega",0.4396382520199593,2.1111111109999996,-1.527777776999999,2.5,1.1917293421226205
20180212,327,"Mohamed Safwat",12,"Alessandro Bega",0.5792166247502766,0.5470085470000008,-0.9829059819999983,1.6999999999999993,1.6230633885504027
20180430,385,"Robin Kern",12,"Alessandro Bega",0.39947883097586395,5.277777778000001,0.5555555560000016,-0.5,1.540128936873248
20180507,456,"Tsung Hua Yang",12,"Alessandro Bega",0.5771195729172186,1.0902777780000008,-1.3194444439999984,2.0999999999999996,1.1647878725374625
20180521,71,"Christian Harrison",12,"Alessandro Bega",0.6192498368469211,2.0777777779999997,-0.6444444439999977,1.7857142859999993,1.5368859058899984
20180205,197,"Jared Hiltzik",13,"Alessandro Damiano Ventre",1,1.3823529410000006,-1.8823529409999988,0,1.190065932326701
