id_liga,date_partido,equipo_local,equipo_visitante,goles_local,goles_visitante,resultado,dates,id,name,id,name,player,do,recieve,player,do,recieve
F1,17/12/16,Rennes,Bastia,1,2,A,"2016-12-17 00:00:00",18,Rennes,2,Bastia,18,0.947368421,1.105263158,2,0.763157895,1.5
F1,17/12/16,Rennes,Bastia,1,2,A,"2016-12-17 00:00:00",18,Rennes,2,Bastia,18,0.947368421,1.105263158,2,0.763157895,1.5
F1,18/09/16,"St Etienne",Bastia,1,0,H,"2016-09-18 00:00:00",19,"St Etienne",2,Bastia,19,1.078947368,1.105263158,2,0.763157895,1.5
F1,18/09/16,"St Etienne",Bastia,1,0,H,"2016-09-18 00:00:00",19,"St Etienne",2,Bastia,19,1.078947368,1.105263158,2,0.763157895,1.5
F1,11/02/17,Toulouse,Bastia,4,1,H,"2017-02-11 00:00:00",20,Toulouse,2,Bastia,20,0.973684211,1.078947368,2,0.763157895,1.5
F1,11/02/17,Toulouse,Bastia,4,1,H,"2017-02-11 00:00:00",20,Toulouse,2,Bastia,20,0.973684211,1.078947368,2,0.763157895,1.5
F1,14/01/17,Angers,Bordeaux,1,1,D,"2017-01-14 00:00:00",1,Angers,3,Bordeaux,1,1.052631579,1.289473684,3,1.394736842,1.131578947
F1,14/01/17,Angers,Bordeaux,1,1,D,"2017-01-14 00:00:00",1,Angers,3,Bordeaux,1,1.052631579,1.289473684,3,1.394736842,1.131578947
F1,30/11/16,Bastia,Bordeaux,1,1,D,"2016-11-30 00:00:00",2,Bastia,3,Bordeaux,2,0.763157895,1.5,3,1.394736842,1.131578947
F1,30/11/16,Bastia,Bordeaux,1,1,D,"2016-11-30 00:00:00",2,Bastia,3,Bordeaux,2,0.763157895,1.5,3,1.394736842,1.131578947
F1,07/02/17,Caen,Bordeaux,0,4,A,"2017-02-07 00:00:00",4,Caen,3,Bordeaux,4,0.947368421,1.710526316,3,1.394736842,1.131578947
F1,07/02/17,Caen,Bordeaux,0,4,A,"2017-02-07 00:00:00",4,Caen,3,Bordeaux,4,0.947368421,1.710526316,3,1.394736842,1.131578947
F1,30/04/17,Dijon,Bordeaux,0,0,D,"2017-04-30 00:00:00",5,Dijon,3,Bordeaux,5,1.210526316,1.526315789,3,1.394736842,1.131578947
F1,30/04/17,Dijon,Bordeaux,0,0,D,"2017-04-30 00:00:00",5,Dijon,3,Bordeaux,5,1.210526316,1.526315789,3,1.394736842,1.131578947
F1,20/11/16,Guingamp,Bordeaux,1,1,D,"2016-11-20 00:00:00",6,Guingamp,3,Bordeaux,6,1.210526316,1.394736842,3,1.394736842,1.131578947
F1,20/11/16,Guingamp,Bordeaux,1,1,D,"2016-11-20 00:00:00",6,Guingamp,3,Bordeaux,6,1.210526316,1.394736842,3,1.394736842,1.131578947
F1,25/02/17,Lille,Bordeaux,2,3,A,"2017-02-25 00:00:00",7,Lille,3,Bordeaux,7,1.052631579,1.236842105,3,1.394736842,1.131578947
F1,25/02/17,Lille,Bordeaux,2,3,A,"2017-02-25 00:00:00",7,Lille,3,Bordeaux,7,1.052631579,1.236842105,3,1.394736842,1.131578947
F1,20/05/17,Lorient,Bordeaux,1,1,D,"2017-05-20 00:00:00",8,Lorient,3,Bordeaux,8,1.157894737,1.842105263,3,1.394736842,1.131578947
F1,20/05/17,Lorient,Bordeaux,1,1,D,"2017-05-20 00:00:00",8,Lorient,3,Bordeaux,8,1.157894737,1.842105263,3,1.394736842,1.131578947
F1,10/09/16,Lyon,Bordeaux,1,3,A,"2016-09-10 00:00:00",9,Lyon,3,Bordeaux,9,2.105263158,1.263157895,3,1.394736842,1.131578947
F1,10/09/16,Lyon,Bordeaux,1,3,A,"2016-09-10 00:00:00",9,Lyon,3,Bordeaux,9,2.105263158,1.263157895,3,1.394736842,1.131578947
F1,30/10/16,Marseille,Bordeaux,0,0,D,"2016-10-30 00:00:00",10,Marseille,3,Bordeaux,10,1.5,1.078947368,3,1.394736842,1.131578947
